id,xmlid,name
1,slate,Slate
3,corrugated_metal_sheet,Corrugated Metal Sheet
4,trapezoidal_sheet,Trapezoidal Sheet
5,fibrocement,Fibrocement
6,tiles,Tiles
7,zinc,Zinc
8,sandwich_panel,Sandwich Panel
9,green_roof,Green Roof
10,bituminous_waterproof_membrane,Bituminous Waterproof Membrane
11,polymer_waterproof_membrane,Polymer Waterproof Membrane
12,gravelled_waterproof_membrane,Gravelled Waterproof Membrane
